1.37,0.24,0.2442,0.28
1.42,0.36,0.3600,0.41
1.47,0.42,0.4130,0.46
1.52,0.45,0.4497,0.48
1.57,0.48,0.4786,0.52
1.62,0.50,0.5031,0.54
1.67,0.52,0.5248,0.56
1.72,0.56,0.5595,0.60
1.77,0.59,0.5897,0.62
1.82,0.61,0.6128,0.65
1.87,0.63,0.6330,0.67
1.92,0.65,0.6519,0.68
1.97,0.66,0.6700,0.70
2.02,0.68,0.6877,0.72
2.07,0.70,0.7053,0.73
2.12,0.71,0.7229,0.74
2.17,0.73,0.7406,0.76
2.22,0.74,0.7585,0.77
2.27,0.76,0.7766,0.79
2.32,0.77,0.7948,0.80
2.37,0.79,0.8133,0.82
2.42,0.81,0.8318,0.82
2.47,0.82,0.8503,0.84
